term,has_definition,has_taxonomy,term_only_uri_presence,uri_only_sources,definitions_and_fallback_hierarchy,definitions_count,taxonomy_paths_count,sources,sources_count,embedding_text,sssom_source_pairs,semantically_similar_terms,initial_category,recommended_action,category_rationale,candidate_merged_definition_draft,term_norm,definitions_text_norm,sources_list,strong_hits,weak_hits,farfield_hits,admin_hits,heliophysics_source_hits,category_priority,evidence_strength,relevance_score,workshop_priority_score,exclude_farfield,exclude_low_relevance,manual_include,manual_exclude,selected_for_ranking
endorheric basin,True,False,False,,GCMD: A closed drainage basin that retains water and allows no outflow to other bodies of water such as rivers or oceans.,1,0,GCMD,1,GCMD: A closed drainage basin that retains water and allows no outflow to other bodies of water such as rivers or oceans.,,endorheic basin (1.00) | hydrographic basin (0.33),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,endorheric basin,gcmd: a closed drainage basin that retains water and allows no outflow to other bodies of water such as rivers or oceans.,['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
energy balance,True,False,False,AGU Index Terms,GEMET: The energetic state of a system at any given time.,1,0,AGU Index Terms | GEMET,2,GEMET: The energetic state of a system at any given time.,AGU Index Terms <-> GEMET,mortality (0.37) | pollution measurement (0.37) | phytomass (0.36) | perturbation (0.35) | energetic particle (0.35) | poverty levels (0.32) | solar energetic particle (0.32) | water vapor tendency (0.30),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,energy balance,gemet: the energetic state of a system at any given time.,"['agu index terms', 'gemet']",0,0,0,0,0,1.0,1.3523145537608112,0.0,0.0911939817200984,False,True,False,False,False
energy intake,True,False,False,,GEMET: total number of calories taken in daily whether ingested or by parenteral routes,1,0,GEMET,1,GEMET: total number of calories taken in daily whether ingested or by parenteral routes,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,energy intake,gemet: total number of calories taken in daily whether ingested or by parenteral routes,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
energy ke v field,False,True,False,,HELIO Ontology: EnergyKeVField -> energy ke v field,0,1,HELIO Ontology,1,HELIO Ontology hierarchy: EnergyKeVField -> energy ke v field,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,energy ke v field,helio ontology: energykevfield -> energy ke v field,['helio ontology'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
energy output,True,False,False,,GCMD: The amount of heat output from a geothermal energy source.,1,0,GCMD,1,GCMD: The amount of heat output from a geothermal energy source.,,energy distribution (0.83) | geothermal energy production/use (0.54) | geothermal temperature (0.53) | geothermal heat flux (0.40) | heat flux (0.33) | energy type (0.33) | agricultural product (0.31) | temperature gradient rate (0.31),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,energy output,gcmd: the amount of heat output from a geothermal energy source.,['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
energy saving,True,False,False,,GEMET: Avoiding wasting energy.,1,0,GEMET,1,GEMET: Avoiding wasting energy.,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,energy saving,gemet: avoiding wasting energy.,['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
energy technology,False,True,False,,GEMET: technology -> energy technology,0,1,GEMET,1,GEMET hierarchy: technology -> energy technology,,"environmental technology (0.89) | building technology (0.86) | construction technology (0.85) | technological process (0.58) | selection of technology (0.53) | evaluation of technology (0.42) | industry, crafts; technology; equipments (0.40) | des - dictionary of environmental science and technology - second edition (0.40)",Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,energy technology,gemet: technology -> energy technology,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
engineering,True,False,False,AGU Index Terms,"GEMET: The science by which the properties of matter and the sources of power in nature are made useful to humans in structures, machines, and products.",1,0,AGU Index Terms | GEMET,2,"GEMET: The science by which the properties of matter and the sources of power in nature are made useful to humans in structures, machines, and products.",AGU Index Terms <-> GEMET,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,engineering,"gemet: the science by which the properties of matter and the sources of power in nature are made useful to humans in structures, machines, and products.","['agu index terms', 'gemet']",0,0,0,0,0,1.0,1.3523145537608112,0.0,0.0911939817200984,False,True,False,False,False
engineering work,False,True,False,,GEMET: industrial process -> engineering work,0,1,GEMET,1,GEMET hierarchy: industrial process -> engineering work,,industrial process (0.64) | covering (0.46) | construction of installations (0.46) | incorporation (0.42) | metal working (0.40) | building site preparation (0.35) | industrial material (0.35) | eed - environmental engineering dictionary (0.35),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,engineering work,gemet: industrial process -> engineering work,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
enlargement programme,False,True,False,,GEMET: environmental planning -> programme -> environmental programme -> enlargement programme,0,1,GEMET,1,GEMET hierarchy: environmental planning -> programme -> environmental programme -> enlargement programme,,programme (0.86) | national conservation programme (0.83) | analysis programme (0.53) | neighbourhood improvement scheme (0.46) | transport planning (0.37) | measuring programme (0.35) | environment action programme (0.34),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,enlargement programme,gemet: environmental planning -> programme -> environmental programme -> enlargement programme,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
ensemble models,True,False,False,,"GCMD: A modeling process where multiple diverse models are created to predict an outcome, either by using many different modeling algorithms or using different training data sets.",1,0,GCMD,1,"GCMD: A modeling process where multiple diverse models are created to predict an outcome, either by using many different modeling algorithms or using different training data sets.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,ensemble models,"gcmd: a modeling process where multiple diverse models are created to predict an outcome, either by using many different modeling algorithms or using different training data sets.",['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
enterovirus,True,False,False,,"GEMET: Any of a subgroup of the picornaviruses infecting the gastrointestinal tract and discharged in feces, including coxsackieviruses, echoviruses, and polioviruses; may be involved in respiratory disease, meningitis, and neurological disease.",1,0,GEMET,1,"GEMET: Any of a subgroup of the picornaviruses infecting the gastrointestinal tract and discharged in feces, including coxsackieviruses, echoviruses, and polioviruses; may be involved in respiratory disease, meningitis, and neurological disease.",,respiratory disease (0.37),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,enterovirus,"gemet: any of a subgroup of the picornaviruses infecting the gastrointestinal tract and discharged in feces, including coxsackieviruses, echoviruses, and polioviruses; may be involved in respiratory disease, meningitis, and neurological disease.",['gemet'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
entognatha,True,False,False,,GCMD: class of wingless arthropods with entognathous mouthparts,1,0,GCMD,1,GCMD: class of wingless arthropods with entognathous mouthparts,,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,entognatha,gcmd: class of wingless arthropods with entognathous mouthparts,['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
entoprocts,True,False,False,,"GCMD: A phylum of small invertebrate aquatic animals typically having a cup-shaped body bearing tentacles and attached to the substrate by means of a stalk characterized by having tentacles with a downstream-collecting ciliary system, an anus inside the ring of ciliated tentacles, and no coelomic canal.",1,0,GCMD,1,"GCMD: A phylum of small invertebrate aquatic animals typically having a cup-shaped body bearing tentacles and attached to the substrate by means of a stalk characterized by having tentacles with a downstream-collecting ciliary system, an anus inside the ring of ciliated tentacles, and no coelomic canal.",,,Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,entoprocts,"gcmd: a phylum of small invertebrate aquatic animals typically having a cup-shaped body bearing tentacles and attached to the substrate by means of a stalk characterized by having tentacles with a downstream-collecting ciliary system, an anus inside the ring of ciliated tentacles, and no coelomic canal.",['gcmd'],0,0,0,0,0,1.0,1.1090354888959124,0.0,0.07865907099035933,False,True,False,False,False
"environment (natural environment, anthropic environment)",False,True,False,,"GEMET: ENVIRONMENT (natural environment, anthropic environment)",0,1,GEMET,1,"GEMET hierarchy: ENVIRONMENT (natural environment, anthropic environment)",,"natural environment, anthropic environment (0.98) | space_environment_laboratory (0.35) | paens - environment in key word — a multilingual handbook of the environment (0.34) | terrestrial ecosystem (0.33) | human activities and products, effects on the environment (0.33) | marine ecosystem (0.32) | rural environment (0.32) | forest ecosystem (0.31)",Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,"environment (natural environment, anthropic environment)","gemet: environment (natural environment, anthropic environment)",['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
environmental analysis,False,True,False,,GEMET: analysis -> environmental analysis,0,1,GEMET,1,GEMET hierarchy: analysis -> environmental analysis,,social analysis (0.84) | process analysis (0.73) | analysis programme (0.46) | rau - environmental impact analysis handbook (0.46) | envar - encyclopedia of environmental analysis and remediation (0.43) | composition/structure (0.42) | mineral age determinations (0.37) | metals age determinations (0.37),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,environmental analysis,gemet: analysis -> environmental analysis,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
environmental anxiety,False,True,False,,GEMET: disease -> human disease -> stress -> psychological stress -> environmental anxiety,0,1,GEMET,1,GEMET hierarchy: disease -> human disease -> stress -> psychological stress -> environmental anxiety,,respiratory disease (0.52) | psychological effect (0.50) | cardiovascular disease (0.50) | plant disease (0.50) | animal disease (0.49) | fish disease (0.49) | nausea (0.47) | mental effect (0.46),Category 1 — Non-Problematic,Accept as stable (provisional),Only one usable definition/hierarchy statement,,environmental anxiety,gemet: disease -> human disease -> stress -> psychological stress -> environmental anxiety,['gemet'],0,0,0,0,0,1.0,0.4158883083359672,0.0,0.04294478527607362,False,True,False,False,False
