term,definitions,hierarchy_paths,sources
active regions,"[""A disturbed volume of the Sun's atmosphere that often consists of (from bottom to top) sunspots, plage, prominences, and hot magnetized loops. Active regions may release significant amounts of energy during magnetic eruptions that produce coronal mass ejections and/or flares.""]",['active regions'],['NASA CCMC']
active surge region,['An active region that exhibits a group or series of spike- like surges that rise no higher than 0.15 solar radii above the limb. (See bright surge on the limb.)'],['active surge region'],['Space Weather Glossary']
activity index,"['An indication, derived from one or more measurements, of the level of activity of an object or region, such as sunspot number, F10.7 flux, Dst, or the Polar Cap Indices.', 'An indication, derived from one or moremeasurements, of the level of activity of an object or region, such assunspot number, F10.7 flux, Dst, or the Polar Cap Indices.']",['ActivityIndex -> activity index'],"['HELIO Ontology', 'SPASE Dictionary']"
adaptable species,[],['biosphere -> ecology -> ecological parameter -> species -> adaptable species | science -> natural science -> life science -> ecology -> ecological parameter -> species -> adaptable species'],['GEMET']
adaptation period,[],['organisation of the legal system -> judicial system -> adaptation period'],['GEMET']
adaptation strategy,"['The process of adjustment to actual or expected climate and its effects. In human systems, adaptation seeks to moderate or avoid harm or exploit beneficial opportunities. In some natural systems, human intervention may facilitate adjustment to expected climate and its effects.']",['environmental protection -> climate protection -> adaptation strategy'],['GEMET']
adaptive capacity,"['The property of a system to adjust its characteristics or behaviour, in order to expand its coping range under existing climate variability, or future climate conditions. ACC definition: The ability of systems, institutions, humans, and other organisms to adjust to potential damage, to take advantage of opportunities, or to respond to consequences.']",['climate -> climate change -> climate change adaptation -> adaptive capacity'],['GEMET']
addition polymer,"['A polymer formed by the chain addition of unsaturated monomer molecules, such as olefins, with one another without the formation of a by-product, as water; examples are polyethylene, polypropylene and polystyrene.']",['chemical -> organic substance -> polymer -> addition polymer'],['GEMET']
additional packaging,['Additional packaging around the normal sales packaging. For example as protection against theft or for the purpose of advertising; the customer may leave the additional packaging in the shop for waste collection.'],['product -> miscellaneous product -> packaging -> additional packaging'],['GEMET']
additive,"['Substances mixed in small quantities with another product to modify its chemical or physical state. Additives are used to make food look visually more attractive, in the case of colouring agents, as well as to preserve and extend the life of the product.']",['product -> chemical product -> additive'],['GEMET']
address,['Directions for finding some location; writtenon letters or packages that are to be delivered to that location.'],['Address'],['SPASE Dictionary']
adequate food supply,"['A quantity of nutriments that meets fundamental nutritional requirements and is provided to a person, group or community on a continuing basis.']",['nutrition -> applied nutrition -> adequate food supply'],['GEMET']
adhesive,"['Substance used for sticking objects together, such as glue, cement, or paste.']",['product -> chemical product -> adhesive'],['GEMET']
adiabatic invariant,['A property of a physical system usuallyrelated to periodic phenomena that remains constant under slowly varyingconditions.'],['AdiabaticInvariant -> adiabatic invariant'],['SPASE Dictionary']
administration,"['The management or direction of the affairs of a public or private office, business or organization.']",['administration'],['GEMET']
"administration, management, policy, politics, institutions, planning",[],"['ADMINISTRATION, MANAGEMENT, POLICY, POLITICS, INSTITUTIONS, PLANNING']",['GEMET']
administrative body,"['Any governmental agency or organization charged with managing and implementing regulations, laws and government policies.']",['institutional structure -> administrative body'],['GEMET']
administrative boundary,['A limit or border of a geographic area under the jurisdiction of some governmental or managerial entity.'],['border -> national boundary -> sub-national boundary -> administrative boundary'],['GEMET']
administrative competence,"['The skill, knowledge, qualification, capacity or authority to manage or direct the affairs of a public or private office, business or organization.']",['administration -> administrative competence'],['GEMET']
administrative court (administration),"['An independent, specialized judicial tribunal in which judges or officials are authorized by a government agency to conduct hearings and render decisions in proceedings between the government agency and the persons, businesses or other organizations that it regulates.']",['institutional structure -> judicial body -> court -> administrative court (administration)'],['GEMET']
administrative deed,['Any formal and legitimate step taken or decision made on matters of policy by a chief or other top-level officer within an organization.'],['administration -> administrative procedure -> administrative deed'],['GEMET']
administrative divisions,"['Boundaries depicting individual or separate administrative units such as districts, municipalities, census county subdivisions, etc.']",['EARTH SCIENCE -> HUMAN DIMENSIONS -> BOUNDARIES -> ADMINISTRATIVE DIVISIONS'],['GCMD']
administrative fiat,"['An authoritative decree, sanction or order issued from an office with executive or managerial authority, without necessarily having the force of law or its equivalent.']",['administration -> administrative procedure -> administrative fiat'],['GEMET']
administrative instructions,"['Education in the theories and practices of managing an office, business or organization.']",['education -> level of education -> administrative instructions'],['GEMET']
administrative jurisdiction,"['The extent, power or territory in which an office with executive or managerial authority administers justice or declares judgments.']",['administration -> administrative competence -> jurisdiction -> administrative jurisdiction'],['GEMET']
administrative law,"['Body of law created by administrative agencies in the form of rules, regulations, orders and decisions to carry out regulatory powers and duties of such agencies.']",['law (corpus of rules) -> law branch -> administrative law'],['GEMET']
administrative occupation,[],['labour -> occupation -> administrative occupation'],['GEMET']
administrative organisation,[],['administration -> administrative organisation'],['GEMET']
administrative procedure,[],['administration -> administrative procedure'],['GEMET']
administrative sanction,"['Generally, any formal official imposition of penalty or fine; destruction, taking, seizure, or withholding of property; assessment of damages, reimbursement, restitution, compensation, costs, charges or fees; requirement, revocation or suspension of license; and taking other compulsory or restrictive action by organization, agency or its representative.']",['administration -> sanction -> administrative sanction'],['GEMET']
adsorption,"['The physical or chemical bonding of molecules of gas, liquid or a dissolved substance to the external surface of a solid or the internal surface, if the material is porous, in a very thin layer.']",['physicochemical process -> sorption -> adsorption'],['GEMET']
adult,"['A person who is fully grown, developed or of a specified age.']",['demography -> human population -> population structure -> adult'],['GEMET']
adult education,"['Any instruction or training, informal or formal, which is geared to persons of mature age, regardless of previous education, and typically offered by university extension programs, employers, correspondence courses or community groups.']",['education -> level of education -> adult education'],['GEMET']
advanced_composition_explorer,[],['Advanced_Composition_Explorer'],['HELIO Ontology']
advection,"['mechanism by which contaminants are moving through the media until they escape the system, namely via the movement of a mass of fluid (air, ocean current) or the transport of pollutants or plankton by such movement', 'The process of transport of an atmospheric property solely by the mass motion (velocity field) of the atmosphere; also, the rate of change of the value of the advected property at a given point.', 'The horizontal or vertical flow of seawater as a current.', 'Refers to the transport of salt within the ocean.', 'Advection is the transfer of properties of current flow. The transfer ofheat gain/loss from one region to another.', 'The horizontal transfer of air mass properties that can impact snowmelt, snowpack, and temperature.', 'Sea ice advection is the movement of sea ice and is a function of the following factors: atmosphere-ice and ice-ocean momentum stress and sea surface gradient.']","['pollution -> advection', 'EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WINDS -> WIND DYNAMICS -> ADVECTION', 'EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> ADVECTION', 'EARTH SCIENCE -> OCEANS -> OCEAN VOLUME BUDGET -> ADVECTION', 'EARTH SCIENCE -> OCEANS -> SALINITY/DENSITY -> OCEAN SALINITY -> OCEAN SALINITY BUDGET -> ADVECTION', 'EARTH SCIENCE -> OCEANS -> OCEAN HEAT BUDGET -> ADVECTION', 'EARTH SCIENCE -> CRYOSPHERE -> SNOW/ICE -> SNOW VOLUME BUDGET -> ADVECTION', 'EARTH SCIENCE -> CRYOSPHERE -> SEA ICE -> SEA ICE VOLUME BUDGET -> ADVECTION']","['GEMET', 'GCMD']"
advection fog,"['A type of fog caused by the advection of moist air over a cold surface, and the consequent cooling of that air to below its dewpoint.A very common advection fog is that caused by moist air over a cold body of water (sea fog).Sometimes applied to steam fog.']",['EARTH SCIENCE -> ATMOSPHERE -> CLOUDS -> TROPOSPHERIC/LOW LEVEL CLOUDS (OBSERVED/ANALYZED) -> FOG -> ADVECTION FOG'],['GCMD']
advertisement,"['The action of drawing public attention to goods, services or events, often through paid announcements in newspapers, magazines, television or radio.']",['information -> public information -> advertisement'],['GEMET']
advice,"[""An official notice, opinion, counsel or recommendation that is optional or at the receiver's discretion.""]",['administration -> administrative procedure -> advice'],['GEMET']
